date,level,1day,7day,1month
2020-12-24,-209.885,0.005,0.02,0.1
2020-12-23,-209.89,0.01,0.05,0.1
2020-12-22,-209.895,0.01,0.08,0.095
2020-12-21,-209.895,0.015,0.09,0.105
2020-12-20,-209.9,0.015,0.09,0.115
2020-12-17,-209.905,0.05,0.075,0.11
2020-12-16,-209.935,0.08,0.075,0.105
2020-12-15,-209.965,0.09,0.075,0.12
2020-12-14,-209.975,0.09,0.07,0.12
2020-12-13,-209.975,0.09,0.075,0.115
2020-12-10,-209.96,0.075,0.06,0.105
2020-12-09,-209.96,0.075,0.06,0.105
2020-12-08,-209.96,0.07,0.065,0.105
2020-12-07,-209.955,0.075,0.07,0.105
2020-12-06,-209.96,0.075,0.06,0.09
2020-12-03,-209.945,0.06,0.07,0.105
2020-12-02,-209.945,0.065,0.095,0.1
2020-12-01,-209.95,0.07,0.1,0.095
2020-11-30,-209.955,0.06,0.1,0.085
2020-11-29,-209.945,0.06,0.095,0.08
2020-11-28,-209.945,0.055,0.105,0.075
2020-11-27,-209.94,0.07,0.115,0.07
2020-11-26,-209.955,0.095,0.12,0.06
2020-11-25,-209.98,0.1,0.115,0.05
2020-11-24,-209.985,0.1,0.11,0.045
2020-11-23,-209.985,0.095,0.105,0.03
2020-11-22,-209.98,0.105,0.12,0.025
2020-11-21,-209.99,0.115,0.12,0.015
2020-11-20,-210.0,0.12,0.115,0.015
2020-11-19,-210.005,0.115,0.115,0.005
2020-11-18,-210.0,0.11,0.11,0.005
2020-11-17,-209.995,0.105,0.105,-0.005
2020-11-16,-209.99,0.12,0.105,-0.015
2020-11-15,-210.005,0.12,0.105,-0.025
2020-11-14,-210.005,0.115,0.105,-0.025
2020-11-13,-210.0,0.115,0.09,-0.035
2020-11-12,-210.0,0.11,0.09,-0.045
2020-11-11,-209.995,0.105,0.11,-0.045
2020-11-10,-209.99,0.105,0.105,-0.055
2020-11-08,-209.99,0.105,0.095,-0.08
2020-11-05,-209.975,0.11,0.08,-0.095
2020-11-04,-209.995,0.105,0.075,-0.105
2020-11-03,-209.99,0.1,0.07,-0.115
2020-11-02,-209.985,0.095,0.06,-0.125
2020-11-01,-209.98,0.09,0.05,-0.135
2020-10-31,-209.975,0.085,0.045,-0.14
2020-10-30,-209.97,0.08,0.03,-0.14
2020-10-29,-209.965,0.075,0.025,-0.145
2020-10-28,-209.96,0.07,0.015,-0.155
2020-10-27,-209.955,0.06,0.015,-0.16
2020-10-26,-209.945,0.05,0.005,-0.17
