date,level
27.9.2020, -209.725
26.9.2020, -209.715
25.9.2020, -209.705
24.9.2020, -209.700
23.9.2020, -209.690
22.9.2020, -209.680
21.9.2020, -209.670
20.9.2020, -209.660
19.9.2020, -209.650
18.9.2020, -209.640
17.9.2020, -209.635
16.9.2020, -209.635
15.9.2020, -209.625
14.9.2020, -209.610
13.9.2020, -209.605
12.9.2020, -209.595
11.9.2020, -209.580
10.9.2020, -209.575
9.9.2020, -209.570
8.9.2020, -209.565
7.9.2020, -209.560
6.9.2020, -209.555
5.9.2020, -209.545
4.9.2020, -209.540
3.9.2020, -209.535
2.9.2020, -209.530
1.9.2020, -209.530
31.8.2020, -209.525
30.8.2020, -209.530
29.8.2020, -209.530
28.8.2020, -209.530
27.8.2020, -209.525
26.8.2020, -209.520
25.8.2020, -209.515
24.8.2020, -209.510
23.8.2020, -209.510
22.8.2020, -209.500
21.8.2020, -209.490
20.8.2020, -209.480
19.8.2020, -209.475
18.8.2020, -209.470
17.8.2020, -209.470
16.8.2020, -209.465
13.8.2020, -209.455
12.8.2020, -209.450
11.8.2020, -209.445
10.8.2020, -209.440
9.8.2020, -209.435
8.8.2020, -209.430
7.8.2020, -209.425
6.8.2020, -209.420
5.8.2020, -209.410
4.8.2020, -209.405
3.8.2020, -209.400
2.8.2020, -209.400
1.8.2020, -209.385
31.7.2020, -209.370
30.7.2020, -209.365
29.7.2020, -209.360
28.7.2020, -209.355
27.7.2020, -209.345
26.7.2020, -209.340
25.7.2020, -209.330
24.7.2020, -209.310
23.7.2020, -209.305
22.7.2020, -209.300
21.7.2020, -209.290
20.7.2020, -209.285
19.7.2020, -209.275
18.7.2020, -209.265
17.7.2020, -209.250
16.7.2020, -209.240
15.7.2020, -209.240
14.7.2020, -209.230
13.7.2020, -209.220
12.7.2020, -209.220
11.7.2020, -209.210
10.7.2020, -209.200
9.7.2020, -209.190
8.7.2020, -209.185
7.7.2020, -209.180
6.7.2020, -209.170
5.7.2020, -209.165
4.7.2020, -209.160
3.7.2020, -209.150
2.7.2020, -209.140
1.7.2020, -209.135
30.6.2020, -209.130
29.6.2020, -209.130
28.6.2020, -209.120
27.6.2020, -209.110
26.6.2020, -209.105
25.6.2020, -209.100
24.6.2020, -209.095
23.6.2020, -209.090
22.6.2020, -209.080
21.6.2020, -209.080
20.6.2020, -209.070
19.6.2020, -209.065
18.6.2020, -209.060
17.6.2020, -209.055
16.6.2020, -209.050
15.6.2020, -209.045
14.6.2020, -209.040
13.6.2020, -209.040
12.6.2020, -209.035
11.6.2020, -209.030
10.6.2020, -209.025
9.6.2020, -209.020
8.6.2020, -209.015
7.6.2020, -209.005
6.6.2020, -209.000
5.6.2020, -208.995
4.6.2020, -208.990
3.6.2020, -208.985
2.6.2020, -208.985
1.6.2020, -208.980
31.5.2020, -208.980
30.5.2020, -208.970
29.5.2020, -208.960
28.5.2020, -208.950
27.5.2020, -208.940
26.5.2020, -208.935
25.5.2020, -208.940
24.5.2020, -208.935
23.5.2020, -208.920
22.5.2020, -208.915
21.5.2020, -208.910
20.5.2020, -208.905
19.5.2020, -208.900
18.5.2020, -208.900
17.5.2020, -208.900
16.5.2020, -208.895
15.5.2020, -208.890
14.5.2020, -208.895
13.5.2020, -208.900
12.5.2020, -208.900
11.5.2020, -208.900
10.5.2020, -208.900
9.5.2020, -208.895
8.5.2020, -208.905
7.5.2020, -208.910
6.5.2020, -208.910
5.5.2020, -208.910
4.5.2020, -208.920
3.5.2020, -208.920
2.5.2020, -208.920
1.5.2020, -208.920
30.4.2020, -208.925
29.4.2020, -208.920
28.4.2020, -208.920
27.4.2020, -208.925
26.4.2020, -208.930
25.4.2020, -208.925
24.4.2020, -208.925
22.4.2020, -208.930
21.4.2020, -208.935
20.4.2020, -208.940
19.4.2020, -208.945
18.4.2020, -208.950
16.4.2020, -208.965
15.4.2020, -208.975
14.4.2020, -208.985
13.4.2020, -209.000
12.4.2020, -209.010
11.4.2020, -209.030
10.4.2020, -209.070
9.4.2020, -209.080
8.4.2020, -209.090
7.4.2020, -209.100
6.4.2020, -209.110
5.4.2020, -209.120
4.4.2020, -209.125
3.4.2020, -209.130
2.4.2020, -209.145
1.4.2020, -209.160
31.3.2020, -209.175
30.3.2020, -209.190
29.3.2020, -209.200
28.3.2020, -209.210
27.3.2020, -209.225
26.3.2020, -209.240
25.3.2020, -209.260
24.3.2020, -209.275
23.3.2020, -209.290
22.3.2020, -209.310
21.3.2020, -209.350
20.3.2020, -209.400
19.3.2020, -209.420
18.3.2020, -209.440
17.3.2020, -209.460
16.3.2020, -209.470
15.3.2020, -209.480
14.3.2020, -209.490
13.3.2020, -209.505
12.3.2020, -209.525
11.3.2020, -209.535
10.3.2020, -209.545
9.3.2020, -209.560
8.3.2020, -209.570
7.3.2020, -209.580
6.3.2020, -209.595
5.3.2020, -209.610
4.3.2020, -209.625
3.3.2020, -209.640
2.3.2020, -209.660
1.3.2020, -209.680
29.2.2020, -209.710
28.2.2020, -209.720
27.2.2020, -209.735
26.2.2020, -209.750
25.2.2020, -209.760
24.2.2020, -209.775
23.2.2020, -209.790
22.2.2020, -209.810
21.2.2020, -209.825
20.2.2020, -209.840
19.2.2020, -209.860
18.2.2020, -209.880
17.2.2020, -209.895
16.2.2020, -209.915
15.2.2020, -209.925
14.2.2020, -209.940
13.2.2020, -209.960
12.2.2020, -210.000
11.2.2020, -210.020
10.2.2020, -210.040
9.2.2020, -210.080
8.2.2020, -210.130
7.2.2020, -210.150
6.2.2020, -210.165
5.2.2020, -210.185
4.2.2020, -210.200
3.2.2020, -210.220
2.2.2020, -210.245
1.2.2020, -210.270
31.1.2020, -210.300
30.1.2020, -210.325
29.1.2020, -210.345
28.1.2020, -210.370
27.1.2020, -210.390
26.1.2020, -210.410
25.1.2020, -210.440
24.1.2020, -210.490
23.1.2020, -210.530
22.1.2020, -210.555
21.1.2020, -210.595
20.1.2020, -210.665
19.1.2020, -210.715
18.1.2020, -210.740
17.1.2020, -210.760
16.1.2020, -210.780
15.1.2020, -210.795
14.1.2020, -210.810
13.1.2020, -210.840
12.1.2020, -210.860
11.1.2020, -210.900
10.1.2020, -210.960
9.1.2020, -211.100
8.1.2020, -211.330
7.1.2020, -211.340
6.1.2020, -211.390
5.1.2020, -211.480
4.1.2020, -211.500
3.1.2020, -211.520
2.1.2020, -211.530
1.1.2020, -211.540
31.12.2019, -211.550
30.12.2019, -211.560
29.12.2019, -211.575
28.12.2019, -211.610
27.12.2019, -211.680
26.12.2019, -211.765
25.12.2019, -211.825
24.12.2019, -211.820
23.12.2019, -211.820
22.12.2019, -211.820
21.12.2019, -211.825
20.12.2019, -211.825
19.12.2019, -211.825
18.12.2019, -211.825
17.12.2019, -211.830
16.12.2019, -211.830
15.12.2019, -211.830
14.12.2019, -211.835
13.12.2019, -211.840
12.12.2019, -211.850
11.12.2019, -211.850
10.12.2019, -211.855
9.12.2019, -211.870
8.12.2019, -211.870
7.12.2019, -211.875
6.12.2019, -211.875
5.12.2019, -211.880
4.12.2019, -211.885
3.12.2019, -211.885
2.12.2019, -211.890
1.12.2019, -211.900
30.11.2019, -211.900
29.11.2019, -211.900
28.11.2019, -211.900
27.11.2019, -211.895
26.11.2019, -211.895
25.11.2019, -211.895
24.11.2019, -211.890
23.11.2019, -211.890
22.11.2019, -211.890
21.11.2019, -211.890
20.11.2019, -211.880
19.11.2019, -211.870
18.11.2019, -211.860
17.11.2019, -211.850
16.11.2019, -211.845
15.11.2019, -211.850
14.11.2019, -211.850
13.11.2019, -211.845
2.11.2019, -211.820
1.11.2019, -211.820
31.10.2019, -211.815
30.10.2019, -211.815
29.10.2019, -211.815
28.10.2019, -211.815
27.10.2019, -211.815
26.10.2019, -211.810
25.10.2019, -211.805
24.10.2019, -211.800
23.10.2019, -211.795
22.10.2019, -211.795
21.10.2019, -211.790
20.10.2019, -211.780
19.10.2019, -211.780
18.10.2019, -211.780
17.10.2019, -211.775
16.10.2019, -211.775
15.10.2019, -211.770
14.10.2019, -211.765
13.10.2019, -211.760
12.10.2019, -211.755
11.10.2019, -211.750
10.10.2019, -211.750
9.10.2019, -211.745
8.10.2019, -211.740
7.10.2019, -211.740
6.10.2019, -211.740
5.10.2019, -211.735
4.10.2019, -211.730
3.10.2019, -211.730
2.10.2019, -211.725
1.10.2019, -211.720
30.9.2019, -211.720
29.9.2019, -211.720
28.9.2019, -211.715
27.9.2019, -211.710
26.9.2019, -211.710
25.9.2019, -211.700
24.9.2019, -211.700
23.9.2019, -211.700
22.9.2019, -211.695
21.9.2019, -211.690
20.9.2019, -211.685
19.9.2019, -211.680
18.9.2019, -211.670
17.9.2019, -211.665
16.9.2019, -211.660
15.9.2019, -211.650
14.9.2019, -211.645
13.9.2019, -211.640
12.9.2019, -211.640
11.9.2019, -211.630
10.9.2019, -211.630
9.9.2019, -211.620
8.9.2019, -211.615
4.9.2019, -211.580
3.9.2019, -211.575
2.9.2019, -211.575
1.9.2019, -211.560
31.8.2019, -211.555
30.8.2019, -211.550
29.8.2019, -211.540
28.8.2019, -211.540
27.8.2019, -211.535
26.8.2019, -211.530
25.8.2019, -211.525
24.8.2019, -211.520
23.8.2019, -211.515
22.8.2019, -211.510
